rank,finalWorth,name,source,industries,citizenship,gender,lastname,estWorthPrev
1927,1711.497,Ana Lucia de Mattos Barretto Villela,banking,Finance & Investments,Brazil,F,de Mattos Barretto Villela,1711.496519
1790,1871.651,Alfredo Egydio Arruda Villela Filho,banking,Finance & Investments,Brazil,M,Egydio Arruda Villela Filho,1871.651149
368,7660.532,Andre Esteves,banking,Finance & Investments,Brazil,M,Esteves,7660.531869
334,8077.181,Safra siblings,banking,Finance & Investments,Brazil,,Safra ,8077.181213
1190,2818.888,Pedro Moreira Salles,"banking, minerals",Diversified,Brazil,M,Moreira Salles,2818.887773
1262,2683.998,Joao Moreira Salles,"banking, minerals",Diversified,Brazil,M,Moreira Salles,2683.998429
1262,2683.998,Fernando Roberto Moreira Salles,"banking, minerals",Diversified,Brazil,M,Moreira Salles,2683.998429
1262,2683.998,Walther Moreira Salles Junior,"banking, minerals",Finance & Investments,Brazil,M,Moreira Salles Junior,2683.998429
955,3433.014,Wesley Batista,beef packing,Food & Beverage,Brazil,M,Batista,3433.014058
955,3433.014,Joesley Batista,beef processing,Food & Beverage,Brazil,M,Batista,3433.014058
963,3415.999,Walter Faria,beer,Food & Beverage,Brazil,M,Faria,3415.999415
89,20860.804,Jorge Paulo Lemann & family,beer,Food & Beverage,Brazil,M,Lemann,20860.80351
2364,1307.377,Vera Rechulski Santo Domingo,beer,Food & Beverage,Brazil,F,Rechulski Santo Domingo,1307.376574
219,10668.625,Carlos Alberto Sicupira & family,beer,Food & Beverage,Brazil,M,Sicupira,10668.62492
154,13767.207,Marcel Herrmann Telles,beer,Food & Beverage,Brazil,M,Telles,13767.20654
1397,2429.747,Miguel Krigsner,cosmetics,Fashion & Retail,Brazil,M,Krigsner,2429.74749
2019,1625.364,Guilherme Peirao Leal,cosmetics,Fashion & Retail,Brazil,M,Leal,1625.364141
1151,2892.563,Antonio Luiz Seabra,cosmetics,Fashion & Retail,Brazil,M,Seabra,2892.562628
1128,2941.562,Luciano Hang,department stores,Fashion & Retail,Brazil,M,Hang,2941.56186
1608,2099.13,Ermirio Pereira de Moraes,diversified,Diversified,Brazil,M,Moraes,2099.13035
1608,2099.13,Maria Helena Moraes Scripilliti,diversified,Diversified,Brazil,F,Moraes Scripilliti,2099.13035
2063,1574.401,Samuel Barata,drugstores,Fashion & Retail,Brazil,M,Barata,1574.401092
109,18230.783,Eduardo Saverin,Facebook,Technology,Brazil,M,Saverin,18230.78338
488,5997.855,Alceu Elias Feldmann,fertilizer,Energy,Brazil,M,Feldmann,5997.855123
1202,2795.527,Guilherme Benchimol,financial services,Finance & Investments,Brazil,M,Benchimol,2795.52654
1610,2098.878,André Street,fintech,Technology,Brazil,M,Street,2098.87752
2130,1514.091,Maurizio Billi,generic drugs,Healthcare,Brazil,M,Billi,1514.091254
1205,2785.666,Carlos Sanchez,generic drugs,Healthcare,Brazil,M,Sanchez,2785.665595
2311,1354.77,Pedro de Godoy Bueno,health insurance,Healthcare,Brazil,M,de Godoy Bueno,1354.769993
1051,3101.353,Rubens Menin Teixeira de Souza,"home building, banking",Diversified,Brazil,M,Menin Teixeira de Souza,3101.352631
167,13147.133,Jorge Moll Filho & family,hospitals,Healthcare,Brazil,M,Moll Filho,13147.13292
1193,2813.275,Dulce Pugliese de Godoy Bueno,"hospitals, health care",Healthcare,Brazil,F,de Godoy Bueno,2813.275397
796,3950.551,Candido Pinheiro Koren de Lima,"hospitals, health insurance",Healthcare,Brazil,M,Pinheiro Koren de Lima,3950.551019
1712,1974.154,Jorge Pinheiro Koren de Lima,"hospitals, health insurance",Healthcare,Brazil,M,Pinheiro Koren de Lima,1974.154294
1707,1977.639,Candido Pinheiro Koren de Lima Junior,"hospitals, health insurance",Healthcare,Brazil,M,Pinheiro Koren de Lima Junior,1977.638549
2542,1163.221,Anne Werninghaus,industrial machinery,Manufacturing,Brazil,F,Werninghaus,1163.220634
1874,1778.815,Jayme Garfinkel,insurance,Finance & Investments,Brazil,M,Garfinkel,1778.815248
1185,2826.29,Jose Joao Abdalla Filho,investments,Finance & Investments,Brazil,M,Abdalla Filho,2826.28982
370,7655.559,Alexandre Behring,investments,Finance & Investments,Brazil,M,Behring,7655.559291
2067,1571.231,Lirio Parisotto,investments,Finance & Investments,Brazil,M,Parisotto,1571.230654
1667,2019.337,Jose Roberto Marinho,media,Media & Entertainment,Brazil,M,Marinho,2019.336648
1668,2018.235,Joao Roberto Marinho,media,Media & Entertainment,Brazil,M,Marinho,2018.234961
1677,2007.518,Roberto Irineu Marinho,media,Media & Entertainment,Brazil,M,Marinho,2007.518377
2274,1386.218,Camilla de Godoy Bueno Grossi,medical labs,Healthcare,Brazil,F,de Godoy Bueno Grossi,1386.217785
672,4613.315,Luis Frias,mobile payments,Technology,Brazil,M,Frias,4613.315176
1349,2524.97,Jose Luis Cutrale,orange juice,Food & Beverage,Brazil,M,Cutrale,2524.97
1628,2061.402,Liu Ming Chung,paper,Manufacturing,Brazil,M,Liu,2061.402399
1611,2096.878,Eduardo de Pontes,payments processing,Technology,Brazil,M,de Pontes,2096.87752
1637,2047.81,Joao Alves de Queiroz Filho,pharmaceuticals,Diversified,Brazil,M,Alves de Queiroz Filho,2047.809605
2230,1430.704,David Feffer,pulp and paper,Manufacturing,Brazil,M,Feffer,1430.704182
2296,1373.142,Daniel Feffer,pulp and paper,Manufacturing,Brazil,M,Feffer,1373.14169
2305,1362.804,Jorge Feffer,pulp and paper,Manufacturing,Brazil,M,Feffer,1362.804305
2306,1360.7,Ruben Feffer,pulp and paper,Manufacturing,Brazil,M,Feffer,1360.700269
1022,3188.47,Abilio dos Santos Diniz,retail,Fashion & Retail,Brazil,M,Diniz,3188.469932
1800,1854.838,Flavia Bittar Garcia Faleiros,retail,Fashion & Retail,Brazil,F,Garcia Faleiros,1854.838428
2393,1285.883,Gisele Trajano,retail,Fashion & Retail,Brazil,F,Trajano,1285.883291
2295,1373.719,Fernando Trajano,retail,Fashion & Retail,Brazil,M,Trajano,1373.719244
1789,1872.62,Fabricio Garcia,retail ,Fashion & Retail,Brazil,M,Garcia,1872.620251
647,4745.288,Luiza Helena Trajano,retail chain,Fashion & Retail,Brazil,F,Trajano,4745.287835
1034,3144.63,Franco Bittar Garcia,retailing,Fashion & Retail,Brazil,M,Garcia,3144.630398
1732,1940.013,Alexandre Grendene Bartelle,shoes,Fashion & Retail,Brazil,M,Grendene Bartelle,1940.013487
2532,1168.801,Jose Isaac Peres & family,shopping malls,Real Estate,Brazil,M,Peres,1168.800721
261,9553.542,Rubens Ometto Silveira Mello,"sugar, ethanol",Energy,Brazil,M,Ometto Silveira Mello,9553.542287
2112,1524.145,Ilson Mateus,supermarkets,Fashion & Retail,Brazil,M,Mateus,1524.144921
2605,1112.294,Maria Pinheiro,supermarkets,Fashion & Retail,Brazil,F,Pinheiro,1112.294252
309,8459.323,Anthony von Mandl,alcoholic beverages,Food & Beverage,Canada,M,von Mandl,8459.323
2042,1601.319,Carl Hansen,biotech,Healthcare,Canada,M,Hansen,1601.3193
481,6035.379,Emanuele (Lino) Saputo & family,cheese,Food & Beverage,Canada,M,Saputo,6035.379228
1334,2546.453,Zhang Ning & family,chemicals,Manufacturing,Canada,F,Zhang,2546.453165
2484,1200.9,Guy Laliberté,Cirque du Soleil,Media & Entertainment,Canada,M,Laliberté,1200.9
461,6267.62,Pan Dong,consumer goods,Fashion & Retail,Canada,F,Pan,6267.620226
2340,1333.936,Richard Fortin,convinience stores,Fashion & Retail,Canada,M,Fortin,1333.935657
678,4577.152,James Irving,diversified,Diversified,Canada,M,Irving,4577.152067
238,10094.474,Jim Pattison,diversified,Diversified,Canada,M,Pattison,10094.47389
2631,1080.463,Dani Reiss,down jackets,Fashion & Retail,Canada,M,Reiss,1080.462951
1104,2982.766,Jean Coutu & family,drugstores,Fashion & Retail,Canada,M,Coutu,2982.765972
2326,1344.476,Brandt Louie,drugstores,Food & Beverage,Canada,M,Louie,1344.475548
218,10717.659,Tobi Lutke,e-commerce,Technology,Canada,M,Lutke,10717.65942
211,11027.536,Joseph Tsai,e-commerce,Technology,Canada,M,Tsai,11027.53647
1661,2025.377,Robert Miller,electronics components,Technology,Canada,M,Miller,2025.376631
1018,3194.343,Lawrence Stroll,fashion investments,Fashion & Retail,Canada,M,Stroll,3194.34322
2200,1452.826,Gerald Schwartz,finance,Finance & Investments,Canada,M,Schwartz,1452.82606
1240,2717.974,Stephen Smith,finance and investments,Finance & Investments,Canada,M,Smith,2717.973548
230,10292.214,David Cheriton,Google,Technology,Canada,M,Cheriton,10292.21368
934,3500,Apoorva Mehta,grocery delivery service,Technology,Canada,M,Mehta,3500
907,3564.307,Peter Gilgan,homebuilding,Construction & Engineering,Canada,M,Gilgan,3564.306767
1082,3019.259,Bob Gaglardi,hotels,Real Estate,Canada,M,Gaglardi,3019.259015
2627,1088.797,Zhao Tongtong,Hotels,Service,Canada,F,Zhao,1088.7968
1326,2568.891,Serge Godin,information technology,Technology,Canada,M,Godin,2568.890614
1084,3016.837,Hal Jackman,"insurance, investments",Finance & Investments,Canada,M,Jackman,3016.837413
1403,2422.793,Ryan Cohen,investments,Finance & Investments,Canada,M,Cohen,2422.79334
1393,2435.466,Catherine Phillips,investments,Finance & Investments,Canada,F,Phillips,2435.46582
1393,2435.466,John Phillips,investments,Finance & Investments,Canada,M,Phillips,2435.46582
1378,2462.7,Charles Bronfman,liquor,Food & Beverage,Canada,M,Bronfman,2462.7
552,5437.761,Chip Wilson,Lululemon,Fashion & Retail,Canada,M,Wilson,5437.760655
1723,1955.834,Pierre Karl Péladeau,media,Media & Entertainment,Canada,M,Péladeau,1955.833789
29,45616.897,David Thomson & family,media,Media & Entertainment,Canada,M,Thomson,45616.89689
1811,1840.42,Stewart Butterfield,messaging software,Technology,Canada,M,Butterfield,1840.42044
1241,2717.296,Bruce Flatt,money management,Finance & Investments,Canada,M,Flatt,2717.295706
1770,1884.328,Stephen Jarislowsky,money management,Finance & Investments,Canada,M,Jarislowsky,1884.327861
2020,1624.107,Michael Lee-Chin,mutual funds,Finance & Investments,Canada,M,Lee-Chin,1624.106832
1763,1891.12,Arthur Irving,oil,Energy,Canada,M,Irving,1891.12
1618,2082.217,N. Murray Edwards,oil & gas,Energy,Canada,M,Edwards,2082.216745
624,4865.5,Mark Scheinberg,online gambling ,Gambling & Casinos,Canada,M,Scheinberg,4865.5
1431,2368.039,Philip Fayer,online payments,Finance & Investments,Canada,M,Fayer,2368.038861
2650,1067.751,Michael McCain,packaged meats,Food & Beverage,Canada,M,McCain,1067.751219
1890,1759.519,Qiu Dongxu,pharmaceutical,Healthcare,Canada,M,Qiu,1759.518872
1966,1679.327,Mao Huihua,pharmaceuticals,Healthcare,Canada,F,Mao,1679.326709
1815,1837.655,Yu Xuefeng,pharmaceuticals,Healthcare,Canada,M,Yu,1837.654826
729,4241.319,Yuan Liping,pharmaceuticals,Healthcare,Canada,F,Yuan,4241.319104
843,3759.639,Daryl Katz,pharmacies,Diversified,Canada,M,Katz,3759.638763
2243,1418.783,Naomi Azrieli,Real estate,Real Estate,Canada,F,Azrieli,1418.782935
2243,1418.783,Sharon Azrieli,Real estate,Real Estate,Canada,F,Azrieli,1418.782935
980,3359.131,Carlo Fidani,real estate,Real Estate,Canada,M,Fidani,3359.130578
1146,2905.752,Mitchell Goldhar,real estate,Real Estate,Canada,M,Goldhar,2905.752463
392,7031.905,Huang Chulong,real estate,Real Estate,Canada,M,Huang,7031.905404
2472,1213.206,Bill Malhotra,real estate,Real Estate,Canada,M,Malhotra,1213.205994
2272,1388.341,K. Rai Sahi,real estate,Real Estate,Canada,M,Sahi,1388.341058
1717,1969.434,Jack Cockwell,"real estate, private equity",Finance & Investments,Canada,M,Cockwell,1969.433514
606,4964.06,Alain Bouchard,retail,Fashion & Retail,Canada,M,Bouchard,4964.059741
1382,2455.715,Jacques D'Amours,retail,Fashion & Retail,Canada,M,D'Amours,2455.714952
1455,2332.448,Mark Leonard & family,software,Technology,Canada,M,Leonard,2332.448114
1448,2341,Barry Zekelman,steel,Manufacturing,Canada,M,Zekelman,2341
2209,1446,Clayton Zekelman,steel,Manufacturing,Canada,M,Zekelman,1446
2492,1198,Alan Zekelman,steel,Manufacturing,Canada,M,Zekelman,1198
2204,1451.974,Terence (Terry) Matthews,telecom,Telecom,Canada,M,Matthews,1451.974361
2688,1036.739,Ronnen Harary,toys,Manufacturing,Canada,M,Harary,1036.738886
2675,1044.73,Anton Rabie,toys,Manufacturing,Canada,M,Rabie,1044.730364
779,4049.27,Garrett Camp,Uber,Technology,Canada,M,Camp,4049.2696
1918,1728.874,Alvaro Saieh Bendeck,banking,Finance & Investments,Chile,M,Saieh Bendeck,1728.874003
2433,1245.585,Luis Enrique Yarur Rey,banking,Finance & Investments,Chile,M,Yarur Rey,1245.58474
780,4047.191,Julio Ponce Lerou,fertilizer,Metals & Mining,Chile,M,Ponce Lerou,4047.191437
1404,2422.5,Jean Salata,finance ,Finance & Investments,Chile,M,Salata,2422.5
2195,1458.486,Patricia Angelini Rossi,"forestry, mining",Diversified,Chile,F,Angelini Rossi,1458.485765
1814,1837.786,Roberto Angelini Rossi,"forestry, mining",Diversified,Chile,M,Angelini Rossi,1837.78598
1125,2948.015,Sebastian Piñera & family,investments,Finance & Investments,Chile,M,Piñera,2948.014713
85,21858.322,Iris Fontbona & family,mining,Metals & Mining,Chile,F,Fontbona,21858.32189
986,3334.611,Horst Paulmann & family,retail,Fashion & Retail,Chile,M,Paulmann,3334.611077
1386,2446.858,Wu Zhongyi, electronics,Technology,China,M,Wu,2446.857786
413,6841.597,Jiang Bin,acoustic components,Technology,China,M,Jiang,6841.597305
497,5837.15,Jason Jiang,advertising,Media & Entertainment,China,M,Jiang,5837.150361
2111,1524.67,Lin Yinsun,agribusiness,Food & Beverage,China,M,Lin,1524.669521
237,10169.046,Liu Hanyuan,agribusiness,Food & Beverage,China,M,Liu,10169.04591
277,9144.561,Liu Yonghao & family,agribusiness,Service,China,M,Liu,9144.560889
2187,1461.609,Shao Genhuo,agribusiness,Food & Beverage,China,M,Shao,1461.609491
1089,3007.559,Xu Yingzhuo,agribusiness,Food & Beverage,China,M,Xu,3007.55855
709,4395.366,Xue Hua,agribusiness,Manufacturing,China,M,Xue,4395.365996
2569,1139.491,Cao Kejian,air compressors,Manufacturing,China,M,Cao,1139.490642
2527,1176.55,Hu Xiaojun & family,Airline,Service,China,M,Hu,1176.550419
1783,1875.49,Wang Junjin,airline,Service,China,M,Wang,1875.489794
2173,1480.831,Wang Han,airline,Diversified,China,M,Wang,1480.830743
2127,1515.793,Zeng Chaolin,Aluminium,Metals & Mining,China,M,Zeng,1515.793271
1861,1791.594,Zhang Xuexin & family,aluminum,Metals & Mining,China,M,Zhang,1791.59364
1733,1939.745,Liu Zhongtian & family,aluminum products,Manufacturing,China,M,Liu,1939.745476
1971,1674.53,Zeng Chaoyi,aluminum products,Manufacturing,China,M,Zeng,1674.530162
256,9686.312,Zheng Shuliang & family,aluminum products,Metals & Mining,China,F,Zheng,9686.311519
1000,3279.234,Song Zuowen,"aluminum, diversified",Diversified,China,M,Song,3279.234417
1413,2401.494,Huang Qiaoling,amusement parks,Media & Entertainment,China,M,Huang,2401.494288
682,4548.052,Gao Dekang & family,apparel,Fashion & Retail,China,M,Gao,4548.051628
1959,1684.536,Li Rucheng,apparel,Fashion & Retail,China,M,Li,1684.536005
1914,1733.416,Wu Yonghua,apparel,Fashion & Retail,China,M,Wu,1733.415803
2621,1096.702,Zhang Yuxiang & family,apparel,Fashion & Retail,China,M,Zhang,1096.701693
404,6953.877,Zhang Jindong,appliance retailer,Fashion & Retail,China,M,Zhang,6953.877386
1461,2320.669,Liang Zhaoxian,appliances,Manufacturing,China,M,Liang,2320.668503
1142,2911.188,Ni Zugen,appliances,Manufacturing,China,M,Ni,2911.187918
2220,1439.083,Wang Qiangxiang,artificial turf,Service,China,M,Wang,1439.082924
651,4720.752,Li Guoqiang,auto dealerships,Automotive,China,M,Li,4720.752119
841,3761.368,Ye Fan & family,auto dealerships,Automotive,China,M,Ye,3761.368397
1967,1677.609,Jiang Yintai & family,auto parts,Automotive,China,M,Jiang,1677.609012
2060,1579.277,Ke Guihua,auto parts,Manufacturing,China,M,Ke,1579.277041
1458,2323.003,Li Hongjing,auto parts,Automotive,China,M,Li,2323.002614
2460,1220.166,Wang Jianfeng & family,auto parts,Automotive,China,M,Wang,1220.166114
2040,1602.407,Xu Xudong & family,auto parts,Automotive,China,M,Xu,1602.40671
570,5326.255,Zhou Bajin,auto parts,Manufacturing,China,M,Zhou,5326.255264
105,18612.787,Li Shufu,automobiles,Automotive,China,M,Li,18612.78654
86,21642.316,Wei Jianjun & family,automobiles,Automotive,China,M,Wei,21642.31557
222,10615.928,Lu Xiangyang,"automobiles, batteries",Automotive,China,M,Lu,10615.92781
950,3461.135,Xia Zuoquan,"automobiles, batteries",Automotive,China,M,Xia,3461.135366
899,3586.7,Wu Zhigang & family,bakery chain,Food & Beverage,China,M,Wu,3586.699907
1484,2280.772,Chen Qiongxiang,batteries,Energy,China,F,Chen,2280.77207
2070,1569.387,Chen Yuantai,batteries,Energy,China,M,Chen,1569.386539
107,18307.954,Huang Shilin,batteries,Energy,China,M,Huang,18307.95443
212,11000.769,Pei Zhenhua,batteries,Energy,China,M,Pei,11000.76913
1170,2859.469,Wu Kai,batteries,Energy,China,M,Wu,2859.469204
1460,2320.686,Wu Yingming,batteries,Energy,China,M,Wu,2320.685692
1068,3046.535,Zhao Fenggang,batteries,Energy,China,M,Zhao,3046.534667
101,19034.569,Wang Chuanfu,"batteries, automobiles",Automotive,China,M,Wang,19034.56902
1849,1806.252,Yao Kuizhang,beverages,Food & Beverage,China,M,Yao,1806.251556
290,8919.629,Zong Qinghou,beverages,Food & Beverage,China,M,Zong,8919.629444
16,72104.906,Zhong Shanshan,"beverages, pharmaceuticals",Food & Beverage,China,M,Zhong,72104.90582
311,8413.966,Jian Jun,biomedical products,Healthcare,China,F,Jian,8413.966262
2159,1490.755,Hu Gengxi & family,Bio-Pharma,Healthcare,China,M,Hu,1490.755003
192,11710.248,Zhao Yan,biotech,Diversified,China,F,Zhao,11710.24792
1359,2503.116,Xie Liangzhi & family,biotech ,Healthcare,China,M,Xie,2503.115658
1639,2046.377,Yang Tingdong,brewery,Food & Beverage,China,M,Yang,2046.377341
1692,1993.211,Wang Zhenghua,budget airline,Service,China,M,Wang,1993.211377
480,6083.556,Wong Luen Hei,building materials,Manufacturing,China,M,Wong,6083.555815
386,7186.451,Wang Wenjing,business software,Technology,China,M,Wang,7186.450989
1944,1692.268,Wang Yanqing & family,carbon fiber products,Manufacturing,China,F,Wang,1692.267977
2275,1386.039,He Xinming family,ceramic,Manufacturing,China,M,He,1386.038849
1459,2322.971,Shen Xiqiang & family,chemical,Energy,China,M,Shen,2322.971081
367,7669.01,Chen Jianhua,chemicals,Manufacturing,China,M,Chen,7669.009718
826,3836.812,Du Jiangtao & family,chemicals,Manufacturing,China,M,Du,3836.8118
2672,1047.26,Hu Rongda & family,chemicals,Manufacturing,China,M,Hu,1047.259589
1064,3058.58,Jiang Weiping & family,chemicals,Manufacturing,China,M,Jiang,3058.579886
1754,1904.35,Li Jiaquan,chemicals,Manufacturing,China,M,Li,1904.350369
472,6194.716,Luo Liguo & family,chemicals,Manufacturing,China,M,Luo,6194.715589
2307,1358.473,Mou Jinxiang,chemicals,Manufacturing,China,F,Mou,1358.473472
1495,2270.623,Ruan Shuilong & family,chemicals,Manufacturing,China,M,Ruan,2270.622562
2242,1420.843,Tan Ruiqing,chemicals,Manufacturing,China,M,Tan,1420.843124
1626,2062.592,Wang Zelong,chemicals,Metals & Mining,China,M,Wang,2062.592119
2415,1266.157,Wu Chaoqun,chemicals,Manufacturing,China,M,Wu,1266.157032
562,5363.004,Xu Jinfu,chemicals,Manufacturing,China,M,Xu,5363.003709
2169,1482.101,Xu Gang,Chemicals,Manufacturing,China,M,Xu,1482.100589
1184,2833.152,Yang Weidong & family,chemicals,Manufacturing,China,M,Yang,2833.151705
2214,1441.212,Zhang Xi,chemicals,Manufacturing,China,M,Zhang,1441.212335
2567,1139.719,Zhou Wen & family,chemicals ,Manufacturing,China,M,Zhou,1139.718942
1099,2993.871,Xu Chuanhua & family,"chemicals, logistics",Manufacturing,China,M,Xu,2993.871359
474,6157.963,You Xiaoping,"chemicals, spandex",Manufacturing,China,M,You,6157.963243
1822,1831.444,Miao Yongjun,clinical diagnostics,Healthcare,China,M,Miao,1831.443728
194,11693.35,Dang Yanbao,coal,Metals & Mining,China,M,Dang,11693.35043
2608,1106.459,Qin Qingping & family,coal & coke,Energy,China,M,Qin,1106.458892
2391,1287.9,Liang Jiankun & family,cobalt mining,Metals & Mining,China,M,Liang,1287.899694
1411,2407.003,Yang Xuegang,coking,Manufacturing,China,M,Yang,2407.002989
828,3833.406,Zhang Jin,commodities,Diversified,China,M,Zhang,3833.40636
1407,2410.074,Chen Zhisong,communication equipment,Technology,China,M,Chen,2410.074173
381,7337.153,Guo Guangchang,conglomerate,Diversified,China,M,Guo,7337.152692
1541,2198.912,Liang Xinjun,conglomerate,Diversified,China,M,Liang,2198.912036
2166,1484.901,Liang Guangwei,conglomerate,Manufacturing,China,M,Liang,1484.90125
2382,1294.893,Wang Qunbin,conglomerate,Diversified,China,M,Wang,1294.893219
2720,1007.327,Wong Hei & family,conglomerate,Diversified,China,F,Wong,1007.326948
